readId	equalMatches
133:320|3cd3dac3-f6ad-4533-9012-4d3bf0236dc5	43
126:315|f3dd0b20-7211-4e25-82c1-58d9d57d9f69	43
128:296|4080d51a-ba85-4a81-956d-1e828824c9c6	43
104:276|669924ed-ad40-45cd-aff8-eeb0d5c77aa0	43
133:334|16958638-8359-4f31-84e7-c790e28ce9c3	43
144:368|206652e6-26f9-45bc-b6f7-c586882c6a6f	43
133:315|3537ba6f-aa66-457c-bc51-c864182249b4	43
127:289|f92219da-b0b6-40c8-830c-bde16cd7385c	43
129:289|78cfb6b4-45f7-4f16-bbb1-6d0b04f969ed	43
135:272|44b61952-8e92-4077-912d-a15cd76a7797	43
124:292|3e3c686b-b2b3-490b-b59f-5b4a6dcfa95c	43
130:378|cc24e2bd-4644-4b3e-89ad-ce70599d7e8e	45
126:386|cd6d8ef7-09b5-4697-baeb-923f464cddac	45
126:403|55613ad0-ea9f-4055-9032-cf2d94d274fb	45
132:414|f78001e1-eec7-44bf-bdb0-89a8cebf2674	45
137:402|21842ee8-e4d4-4883-b341-0743b69f2f46	45
133:397|b8e93560-9c4c-4a3e-b859-c45d70211b31	45
131:399|e75cc12c-346c-4c26-bb4e-2122b94c0891	45
136:400|0b219953-2f44-4f6f-9896-7ceb0c3be83c	45
144:2988|ae109969-38ae-480a-bbab-51edbd7102f0	2459
125:1243|f147c79b-5f93-40bd-947b-6c1d7b340d32	2459
111:1458|7b17e142-f0ca-4c05-8632-2a7d2a773a20	2459
110:3290|061c4663-e674-4e4a-ad08-2495fdd6d91c	2459
108:3287|a7ccaefa-1369-48fa-b276-44cae6988560	2459
108:3286|291e9301-cd62-457f-8533-4947d502ef60	2459
110:1669|f9a06b8c-8747-477c-80ab-fc8623d4ac6d	2459
112:1673|e369b466-9611-42ae-bc56-d02b0fb3cbdf	2459
109:2873|f5c21b75-e464-4493-9379-18528515e2d8	2459
112:2871|076ae856-2609-41d7-8749-d242afbddd7e	2459
107:2853|dc05054d-7716-4f29-ab9c-a5b26395beda	2459
109:3290|8163249a-6e17-44bd-976a-703ccf6d466c	2459
109:2877|47bc9431-c1b9-42e8-8876-4fdc03e6a548	2459
114:2877|425210e0-5730-4957-8596-72080f0c7628	2459
109:2883|93791e3a-0649-4319-99b2-fef18b67ee87	2459
108:1202|006af254-127b-4205-8657-71f0f27d7b8a	2459
167:1256|46f25bd0-26dd-4ba1-8cf7-6e3c13b91360	2459
