readId	equalMatches
119:846|365f98d4-1e8b-41ec-8f0c-7bdcc1e44216	1953
112:847|36af4d97-1bfc-4023-8f6a-58d90919ead5	1953
134:866|546c127a-8f61-41bb-b1ed-b14b1fbcc9c9	1953
131:993|bcf8b416-0917-4b9e-8777-a68f369c884d	1953
88:619|419cc3ee-139d-4c2b-aef5-cc92396816f5	1953
135:665|a281df2c-7166-4bed-a587-0b34106d3071	1953
128:661|4fd875ad-b235-45da-a13a-259934b6aaff	21
111:636|45c3cc00-68dc-438a-b50b-dc8e0eb2ceb3	1953
139:674|9acaf474-70fc-4b25-8b51-7c118c84d043	1953
104:356|7d7364b2-a19a-44db-a503-ce7d1c912c34	22
87:372|bf1d36cc-abb2-4770-9348-736f41a3d711	22
111:386|18c3d14a-5d3a-4571-8b5b-b01678677bf5	22
132:395|a1f0663b-f8c3-4692-a12c-1a9d2b35945f	22
135:414|006ccf5c-918d-412c-b4e7-a5470223c2b8	22
143:388|2027fa31-6c2c-4ae3-8a05-87f92d27457d	22
136:408|d354573d-1cf0-4912-a726-9b4f5ee70a4b	22
